Timestamp,Your name,Your gender ,Your age,How important is exercise to you ?,How do you describe your current level of fitness ?,How often do you exercise?,"What barriers, if any, prevent you from exercising more regularly? (Please select all that apply)",What form(s) of exercise do you currently participate in ? (Please select all that apply),Do you exercise ___________ ?,What time if the day do you prefer to exercise?,How long do you spend exercising per day ?,Would you say you eat a healthy balanced diet ?,"What prevents you from eating a healthy balanced diet, If any? (Please select all that apply)",How healthy do you consider yourself?,Have you ever recommended your friends to follow a fitness routine?,Have you ever purchased a fitness equipment?,What motivates you to exercise? (Please select all that applies ),daily_steps
2019/07/05 1:15:36 AM GMT+5:30,Kiran 106,Female,26 to 35,5,Fair,Everyday,I don't have enough time;I'll become too tired,I don't really exercise;Walking or jogging,With a group,Morning,1 hour,No,Temptation and cravings,5,Yes,No,I want to lose weight;I want to be fit,14984
2019/07/03 9:57:42 AM GMT+5:30,Priya 107,Female,26 to 35,5,Unfit,3 to 4 times a week,I'm not interested;I can't stay motivated,Walking or jogging;I don't really exercise,With a group,Evening,30 minutes,Not always,Temptation and cravings,3,Yes,No,I want to be flexible,9499
2019/07/03 10:35:15 AM GMT+5:30,Priya 108,Female,26 to 35,4,Fair,1 to 2 times a week,I'll become too tired,Gym;Cycling,I don't really exercise,Morning,1 hour,Not always,Ease of access to fast food,3,No,Yes,I want to be fit,12348
2019/07/04 8:56:58 PM GMT+5:30,Arjun 109,Female,36 to 45,3,Excellent,Everyday,I'll become too tired,I don't really exercise;Walking or jogging,Alone,Evening,30 minutes,No,Lack of time,1,Yes,Yes,I want to be fit,4068
2019/07/07 1:24:54 PM GMT+5:30,Arjun 110,Female,19 to 25,5,Unfit,Never,I don't have enough time;I'll become too tired,Lifting weights;I don't really exercise,Alone,Early morning,More than 1 hour,No,Lack of time,5,Yes,Yes,I want to lose weight;I want to be flexible,8118
2019/07/07 6:9:53 PM GMT+5:30,Sneha 111,Female,19 to 25,5,Fair,1 to 2 times a week,I'm not interested,I don't really exercise,I don't really exercise,Afternoon,1 hour,No,Temptation and cravings,4,No,Yes,I want to be flexible;I want to lose weight,10875
2019/07/04 8:13:37 PM GMT+5:30,Divya 112,Male,19 to 25,2,Excellent,Never,I'll become too tired,Gym;Lifting weights,Alone,Afternoon,1 hour,Not always,Cost,3,Yes,No,I want to be fit,6677
2019/07/04 7:40:17 PM GMT+5:30,Manish 113,Female,19 to 25,5,Good,1 to 2 times a week,I can't stay motivated;I'll become too tired,Gym;Cycling,I don't really exercise,Morning,Less than 30 minutes,Not always,Temptation and cravings,2,Yes,Yes,I'm not really interested in exercising;I want to be fit,11159
2019/07/07 11:48:24 PM GMT+5:30,Manish 114,Female,19 to 25,3,Fair,Never,I can't stay motivated,Cycling,With a friend,Morning,1 hour,No,Lack of time,2,No,Yes,I want to lose weight;I want to be fit,6208
2019/07/06 1:50:32 AM GMT+5:30,Arjun 115,Male,19 to 25,2,Good,3 to 4 times a week,I'll become too tired,Gym,I don't really exercise,Morning,1 hour,Yes,Cost,5,No,Yes,I'm not really interested in exercising;I want to lose weight,11228
2019/07/05 8:41:51 PM GMT+5:30,Meena 116,Male,19 to 25,5,Unfit,Never,I'm not interested;I don't have enough time,Cycling,With a friend,Afternoon,More than 1 hour,Yes,Ease of access to fast food,1,Yes,No,I want to be flexible,7635
2019/07/07 7:38:19 PM GMT+5:30,Deepak 117,Male,26 to 35,3,Excellent,Everyday,I'll become too tired;I'm not interested,Cycling,With a friend,Morning,More than 1 hour,Not always,Cost,1,Yes,No,I want to lose weight;I'm not really interested in exercising,4182
2019/07/06 2:57:49 AM GMT+5:30,Anusha 118,Female,36 to 45,3,Fair,1 to 2 times a week,I'll become too tired;I'm not interested,Lifting weights,With a group,Morning,Less than 30 minutes,No,Temptation and cravings,1,Yes,No,I'm not really interested in exercising;I want to lose weight,8318
2019/07/08 7:24:36 PM GMT+5:30,Anusha 119,Female,19 to 25,4,Excellent,1 to 2 times a week,I can't stay motivated;I don't have enough time,Swimming;Walking or jogging,I don't really exercise,Early morning,1 hour,Not always,Ease of access to fast food,1,Yes,No,I want to be flexible;I want to be fit,4583
2019/07/08 1:46:48 AM GMT+5:30,Parkavi 120,Female,15 to 18,5,Fair,Never,I don't have enough time,Lifting weights;Swimming,With a group,Early morning,30 minutes,No,Cost,5,No,Yes,I want to be flexible,13642
2019/07/05 2:24:13 AM GMT+5:30,Parkavi 121,Female,26 to 35,1,Excellent,Never,I'm not interested,Gym;I don't really exercise,With a friend,Evening,I don't really exercise,No,Cost,1,No,No,I want to lose weight;I want to be flexible,2300
2019/07/06 4:19:46 AM GMT+5:30,Manish 122,Male,36 to 45,4,Excellent,1 to 2 times a week,I'll become too tired;I can't stay motivated,Walking or jogging,Alone,Early morning,1 hour,Not always,Cost,2,No,No,I want to be flexible;I want to lose weight,7410
2019/07/03 8:59:11 AM GMT+5:30,Divya 123,Female,19 to 25,5,Very good,3 to 4 times a week,I don't have enough time,Gym;I don't really exercise,With a friend,Early morning,30 minutes,Yes,Ease of access to fast food,1,Yes,Yes,I want to be flexible;I'm not really interested in exercising,8024
2019/07/07 5:24:20 PM GMT+5:30,Nithilaa 124,Female,26 to 35,4,Unfit,3 to 4 times a week,I can't stay motivated,I don't really exercise,I don't really exercise,Evening,Less than 30 minutes,Yes,Ease of access to fast food,1,Yes,No,I'm not really interested in exercising;I want to be flexible,8307
2019/07/07 1:19:46 AM GMT+5:30,Parkavi 125,Female,15 to 18,4,Good,3 to 4 times a week,I'm not interested;I can't stay motivated,Lifting weights;Gym,With a friend,Evening,1 hour,Not always,Lack of time,3,Yes,No,I want to be flexible,7663
2019/07/06 7:27:57 PM GMT+5:30,Deepak 126,Male,15 to 18,2,Excellent,Everyday,I'll become too tired,Cycling;I don't really exercise,I don't really exercise,Afternoon,I don't really exercise,Not always,Temptation and cravings,1,Yes,No,I'm not really interested in exercising;I want to lose weight,5420
2019/07/06 5:18:22 AM GMT+5:30,Nikkitha 127,Male,19 to 25,1,Very good,Never,I can't stay motivated,I don't really exercise;Cycling,Alone,Afternoon,30 minutes,Yes,Lack of time,2,No,No,I'm not really interested in exercising;I want to lose weight,8805
2019/07/04 3:50:36 AM GMT+5:30,Meena 128,Female,19 to 25,2,Excellent,Everyday,I'll become too tired,Cycling;Walking or jogging,I don't really exercise,Morning,More than 1 hour,Yes,Temptation and cravings,3,Yes,No,I want to be flexible;I'm not really interested in exercising,10237
2019/07/03 6:51:15 PM GMT+5:30,Sneha 129,Female,36 to 45,3,Very good,Everyday,I'll become too tired;I can't stay motivated,Gym,I don't really exercise,Afternoon,30 minutes,Yes,Cost,4,Yes,No,I'm not really interested in exercising;I want to be flexible,6956
2019/07/06 3:26:57 AM GMT+5:30,Arjun 130,Male,19 to 25,2,Very good,Everyday,I'm not interested;I can't stay motivated,Walking or jogging,With a group,Early morning,30 minutes,Not always,Ease of access to fast food,1,No,No,I want to be fit,5051
2019/07/07 6:47:3 PM GMT+5:30,Arjun 131,Female,15 to 18,1,Excellent,Everyday,I'll become too tired,I don't really exercise,Alone,Evening,Less than 30 minutes,Not always,Ease of access to fast food,4,No,Yes,I'm not really interested in exercising,10782
2019/07/08 5:21:11 PM GMT+5:30,Karunya v 132,Female,19 to 25,2,Good,Never,I'll become too tired;I can't stay motivated,I don't really exercise;Gym,With a friend,Early morning,More than 1 hour,No,Lack of time,5,Yes,No,I want to be fit;I want to be flexible,8350
2019/07/08 5:0:9 PM GMT+5:30,Parkavi 133,Female,26 to 35,1,Very good,Everyday,I don't have enough time;I can't stay motivated,Lifting weights,I don't really exercise,Afternoon,Less than 30 minutes,No,Temptation and cravings,5,No,No,I want to lose weight,8592
2019/07/06 4:44:55 PM GMT+5:30,Sneha 134,Female,19 to 25,2,Excellent,Everyday,I'm not interested;I don't have enough time,I don't really exercise;Cycling,Alone,Morning,Less than 30 minutes,No,Cost,3,No,No,I want to lose weight;I'm not really interested in exercising,3192
2019/07/05 6:49:52 AM GMT+5:30,Divya 135,Female,19 to 25,2,Unfit,Everyday,I'll become too tired,Walking or jogging;Swimming,With a friend,Early morning,1 hour,Not always,Cost,1,Yes,No,I'm not really interested in exercising;I want to be fit,4984
2019/07/06 6:16:3 AM GMT+5:30,Sneha 136,Female,19 to 25,4,Very good,Never,I'm not interested;I'll become too tired,Lifting weights,With a group,Evening,1 hour,Not always,Temptation and cravings,5,Yes,Yes,I want to be fit,10742
2019/07/06 9:32:19 AM GMT+5:30,Rahul 137,Male,15 to 18,1,Excellent,Never,I don't have enough time,Lifting weights,With a friend,Evening,I don't really exercise,Not always,Temptation and cravings,3,No,No,I want to be flexible;I want to lose weight,3728
2019/07/05 3:12:33 PM GMT+5:30,Anusha 138,Male,26 to 35,4,Fair,3 to 4 times a week,I can't stay motivated;I'm not interested,I don't really exercise,Alone,Morning,Less than 30 minutes,Not always,Lack of time,2,No,No,I want to lose weight;I want to be flexible,5088
2019/07/05 9:10:38 PM GMT+5:30,Shreya 139,Male,15 to 18,2,Very good,Everyday,I'll become too tired,Swimming;Gym,I don't really exercise,Afternoon,I don't really exercise,Yes,Temptation and cravings,2,No,No,I want to be fit,4481
2019/07/04 5:36:24 AM GMT+5:30,Parkavi 140,Female,26 to 35,4,Very good,Never,I'll become too tired,Walking or jogging;I don't really exercise,With a friend,Afternoon,30 minutes,Yes,Cost,3,No,Yes,I want to be fit,6783
2019/07/05 3:6:35 PM GMT+5:30,Parkavi 141,Male,26 to 35,4,Good,1 to 2 times a week,I can't stay motivated,Cycling,With a friend,Morning,I don't really exercise,Not always,Lack of time,4,Yes,No,I want to lose weight;I want to be flexible,8975
2019/07/03 9:27:23 PM GMT+5:30,Deepak 142,Male,26 to 35,3,Unfit,3 to 4 times a week,I don't have enough time;I'll become too tired,Swimming;Gym,Alone,Morning,More than 1 hour,Not always,Ease of access to fast food,2,Yes,No,I'm not really interested in exercising;I want to be fit,5270
2019/07/08 1:2:9 PM GMT+5:30,Anusha 143,Male,19 to 25,4,Unfit,3 to 4 times a week,I'll become too tired;I can't stay motivated,Swimming;Walking or jogging,With a group,Early morning,30 minutes,Yes,Cost,3,No,Yes,I want to be flexible;I'm not really interested in exercising,8903
2019/07/06 3:14:34 AM GMT+5:30,Shreya 144,Female,36 to 45,2,Fair,1 to 2 times a week,I don't have enough time,Cycling,With a friend,Evening,Less than 30 minutes,No,Cost,2,Yes,Yes,I'm not really interested in exercising;I want to lose weight,3938
2019/07/07 7:49:16 PM GMT+5:30,Manish 145,Male,26 to 35,5,Fair,3 to 4 times a week,I'll become too tired;I don't have enough time,Lifting weights,I don't really exercise,Evening,More than 1 hour,No,Temptation and cravings,2,No,Yes,I want to lose weight;I want to be fit,12137
2019/07/08 2:22:11 AM GMT+5:30,Kiran 146,Female,26 to 35,1,Fair,1 to 2 times a week,I'm not interested,Lifting weights;I don't really exercise,With a group,Early morning,Less than 30 minutes,Not always,Temptation and cravings,4,No,No,I want to lose weight;I want to be fit,7313
2019/07/06 8:5:12 AM GMT+5:30,Sneha 147,Female,15 to 18,3,Excellent,Everyday,I'll become too tired;I can't stay motivated,Cycling;I don't really exercise,Alone,Evening,30 minutes,Not always,Cost,1,No,Yes,I'm not really interested in exercising,5044
2019/07/06 2:13:25 PM GMT+5:30,Meena 148,Female,19 to 25,1,Unfit,3 to 4 times a week,I can't stay motivated;I don't have enough time,Gym,With a friend,Morning,30 minutes,No,Lack of time,5,No,No,I want to be fit,7285
2019/07/07 6:44:23 PM GMT+5:30,Karunya v 149,Female,36 to 45,1,Good,1 to 2 times a week,I can't stay motivated;I'm not interested,Cycling;Swimming,With a group,Early morning,I don't really exercise,Not always,Ease of access to fast food,4,No,No,I'm not really interested in exercising,6334
2019/07/06 3:37:30 AM GMT+5:30,Manish 150,Female,15 to 18,5,Good,3 to 4 times a week,I'm not interested,Walking or jogging,With a group,Afternoon,1 hour,Not always,Temptation and cravings,3,Yes,No,I want to be fit,9536
2019/07/06 6:31:1 PM GMT+5:30,Manish 151,Male,36 to 45,3,Good,3 to 4 times a week,I'll become too tired,Swimming;I don't really exercise,I don't really exercise,Morning,30 minutes,No,Ease of access to fast food,4,Yes,No,I want to be flexible,8023
2019/07/07 7:1:10 PM GMT+5:30,Lakshmi 152,Female,19 to 25,2,Excellent,Never,I'm not interested,Lifting weights,With a group,Early morning,I don't really exercise,Yes,Temptation and cravings,4,No,Yes,I want to lose weight,7474
2019/07/07 5:12:2 AM GMT+5:30,Karunya v 153,Male,26 to 35,1,Unfit,3 to 4 times a week,I'll become too tired,Lifting weights,Alone,Early morning,30 minutes,No,Temptation and cravings,5,Yes,Yes,I want to be fit,7487
2019/07/07 8:43:15 AM GMT+5:30,Nithilaa 154,Female,19 to 25,2,Unfit,3 to 4 times a week,I don't have enough time,Walking or jogging;I don't really exercise,With a group,Evening,30 minutes,Not always,Lack of time,5,Yes,No,I want to lose weight;I want to be flexible,8767
2019/07/07 8:46:23 PM GMT+5:30,Sneha 155,Female,26 to 35,4,Good,3 to 4 times a week,I can't stay motivated;I'm not interested,Walking or jogging;Cycling,With a friend,Afternoon,1 hour,Not always,Lack of time,2,Yes,No,I want to lose weight;I want to be fit,9382
2019/07/03 7:51:34 AM GMT+5:30,Parkavi 156,Female,26 to 35,1,Excellent,3 to 4 times a week,I'm not interested;I don't have enough time,Gym;Walking or jogging,Alone,Morning,More than 1 hour,No,Temptation and cravings,5,Yes,Yes,I'm not really interested in exercising,9270
2019/07/08 1:13:7 PM GMT+5:30,Nikkitha 157,Female,26 to 35,4,Excellent,3 to 4 times a week,I'm not interested;I don't have enough time,Gym;Lifting weights,I don't really exercise,Evening,Less than 30 minutes,Yes,Ease of access to fast food,3,No,No,I want to be fit,8819
2019/07/03 4:35:1 AM GMT+5:30,Karunya v 158,Female,19 to 25,5,Good,1 to 2 times a week,I'll become too tired;I can't stay motivated,Gym,I don't really exercise,Early morning,1 hour,Yes,Temptation and cravings,4,No,Yes,I want to be fit;I'm not really interested in exercising,12606
2019/07/03 3:56:22 AM GMT+5:30,Shreya 159,Male,19 to 25,1,Very good,Everyday,I don't have enough time;I can't stay motivated,I don't really exercise;Walking or jogging,Alone,Morning,Less than 30 minutes,No,Ease of access to fast food,5,No,Yes,I'm not really interested in exercising;I want to lose weight,3661
2019/07/08 4:23:26 AM GMT+5:30,Deepak 160,Male,15 to 18,1,Good,3 to 4 times a week,I'm not interested,Walking or jogging,With a friend,Afternoon,More than 1 hour,Not always,Lack of time,1,Yes,Yes,I want to be flexible;I'm not really interested in exercising,6018
2019/07/04 10:19:29 AM GMT+5:30,Nithilaa 161,Male,15 to 18,5,Excellent,1 to 2 times a week,I'll become too tired;I'm not interested,I don't really exercise;Swimming,With a friend,Afternoon,1 hour,No,Temptation and cravings,3,Yes,No,I want to lose weight,10440
2019/07/06 7:52:51 AM GMT+5:30,Divya 162,Male,15 to 18,3,Good,3 to 4 times a week,I don't have enough time;I'll become too tired,I don't really exercise;Walking or jogging,With a group,Evening,I don't really exercise,No,Temptation and cravings,4,No,No,I want to be fit;I'm not really interested in exercising,9320
2019/07/03 7:10:20 AM GMT+5:30,Ravi 163,Female,19 to 25,4,Good,Everyday,I don't have enough time,Walking or jogging,Alone,Morning,30 minutes,No,Temptation and cravings,4,No,Yes,I want to be flexible;I want to be fit,9936
2019/07/08 11:47:5 AM GMT+5:30,Rahul 164,Female,15 to 18,5,Fair,Never,I'm not interested;I can't stay motivated,Cycling,Alone,Early morning,Less than 30 minutes,No,Cost,1,No,Yes,I want to be flexible,8065
2019/07/03 9:28:21 AM GMT+5:30,Meena 165,Male,19 to 25,1,Good,3 to 4 times a week,I'll become too tired;I'm not interested,Swimming,With a friend,Morning,I don't really exercise,No,Temptation and cravings,3,No,No,I want to be flexible,3901
2019/07/04 10:46:31 AM GMT+5:30,Deepak 166,Female,15 to 18,2,Unfit,3 to 4 times a week,I don't have enough time;I'll become too tired,Cycling,With a group,Evening,30 minutes,Not always,Cost,1,No,No,I'm not really interested in exercising,2705
2019/07/03 6:46:2 AM GMT+5:30,Manish 167,Male,15 to 18,3,Unfit,Everyday,I can't stay motivated;I don't have enough time,Lifting weights,With a friend,Afternoon,1 hour,No,Lack of time,4,Yes,No,I want to be fit,12801
2019/07/08 5:59:13 PM GMT+5:30,Rahul 168,Female,26 to 35,4,Fair,Never,I'll become too tired;I can't stay motivated,Swimming,I don't really exercise,Morning,More than 1 hour,Not always,Temptation and cravings,3,No,Yes,I want to be flexible;I want to lose weight,8180
2019/07/06 3:38:59 PM GMT+5:30,Nithilaa 169,Female,36 to 45,2,Unfit,Never,I don't have enough time;I'll become too tired,Cycling;Walking or jogging,With a friend,Evening,More than 1 hour,Yes,Ease of access to fast food,5,Yes,No,I'm not really interested in exercising,8685
2019/07/03 9:51:39 AM GMT+5:30,Parkavi 170,Male,15 to 18,5,Fair,1 to 2 times a week,I'm not interested;I don't have enough time,Swimming;I don't really exercise,Alone,Morning,30 minutes,No,Temptation and cravings,1,Yes,No,I want to be flexible,4274
2019/07/07 7:11:55 PM GMT+5:30,Nikkitha 171,Female,19 to 25,2,Fair,Never,I'll become too tired;I'm not interested,Swimming,With a group,Early morning,1 hour,No,Ease of access to fast food,1,No,No,I want to be flexible,6897
2019/07/04 10:56:24 AM GMT+5:30,Shreya 172,Female,19 to 25,2,Good,1 to 2 times a week,I don't have enough time;I'll become too tired,Cycling,With a friend,Afternoon,1 hour,No,Temptation and cravings,2,No,No,I want to lose weight;I want to be flexible,6949
2019/07/03 1:18:46 PM GMT+5:30,Kiran 173,Male,19 to 25,3,Good,Never,I can't stay motivated;I'll become too tired,Gym,With a group,Evening,I don't really exercise,Yes,Lack of time,3,Yes,No,I want to be flexible;I'm not really interested in exercising,10031
2019/07/06 4:22:57 PM GMT+5:30,Karunya v 174,Male,36 to 45,1,Good,3 to 4 times a week,I'm not interested;I'll become too tired,Gym;Cycling,Alone,Early morning,More than 1 hour,Yes,Cost,5,Yes,No,I want to lose weight,6850
2019/07/06 9:12:15 AM GMT+5:30,Vivek 175,Female,36 to 45,1,Excellent,Never,I can't stay motivated;I'm not interested,Swimming,With a friend,Evening,1 hour,No,Temptation and cravings,3,Yes,No,I want to lose weight;I want to be flexible,8711
2019/07/08 6:34:20 AM GMT+5:30,Divya 176,Female,26 to 35,2,Fair,Everyday,I can't stay motivated,Cycling;Walking or jogging,With a group,Afternoon,30 minutes,No,Cost,5,Yes,Yes,I want to be fit;I want to be flexible,4902
2019/07/06 5:25:41 PM GMT+5:30,Ravi 177,Female,26 to 35,4,Very good,Everyday,I can't stay motivated,Walking or jogging,I don't really exercise,Afternoon,1 hour,No,Temptation and cravings,4,Yes,No,I want to be fit;I'm not really interested in exercising,11071
2019/07/03 5:53:14 AM GMT+5:30,Meena 178,Female,19 to 25,3,Excellent,1 to 2 times a week,I'll become too tired;I'm not interested,Walking or jogging;Swimming,Alone,Afternoon,1 hour,No,Cost,1,Yes,No,I want to lose weight;I want to be fit,4765
2019/07/07 9:30:30 PM GMT+5:30,Parkavi 179,Male,36 to 45,1,Good,Never,I don't have enough time;I'll become too tired,Gym;Swimming,With a group,Afternoon,1 hour,No,Lack of time,3,Yes,No,I want to lose weight,6653
2019/07/08 5:53:27 AM GMT+5:30,Karunya v 180,Male,36 to 45,3,Unfit,3 to 4 times a week,I'm not interested;I'll become too tired,Gym,I don't really exercise,Afternoon,30 minutes,Yes,Lack of time,4,No,Yes,I want to be flexible;I want to be fit,10131
2019/07/03 3:4:3 PM GMT+5:30,Parkavi 181,Male,15 to 18,3,Good,Everyday,I'll become too tired;I'm not interested,Cycling;I don't really exercise,Alone,Afternoon,I don't really exercise,No,Temptation and cravings,1,Yes,No,I'm not really interested in exercising,2811
2019/07/06 6:56:48 PM GMT+5:30,Divya 182,Male,19 to 25,5,Good,3 to 4 times a week,I'll become too tired;I can't stay motivated,Walking or jogging;Cycling,I don't really exercise,Evening,More than 1 hour,No,Ease of access to fast food,2,Yes,Yes,I want to lose weight,10699
2019/07/07 9:3:14 PM GMT+5:30,Arjun 183,Female,19 to 25,3,Excellent,Never,I'm not interested;I don't have enough time,I don't really exercise,With a group,Early morning,30 minutes,No,Ease of access to fast food,2,No,Yes,I'm not really interested in exercising;I want to lose weight,9415
2019/07/06 5:50:41 AM GMT+5:30,Divya 184,Female,26 to 35,2,Very good,3 to 4 times a week,I'm not interested,Cycling,With a friend,Evening,Less than 30 minutes,No,Cost,2,Yes,Yes,I want to lose weight;I want to be fit,6437
2019/07/03 4:22:30 AM GMT+5:30,Sneha 185,Male,19 to 25,2,Unfit,1 to 2 times a week,I don't have enough time;I can't stay motivated,Cycling;Swimming,Alone,Early morning,I don't really exercise,No,Cost,4,Yes,No,I want to be flexible;I want to be fit,11700
2019/07/08 9:32:20 PM GMT+5:30,Kiran 186,Male,36 to 45,3,Fair,3 to 4 times a week,I don't have enough time;I'm not interested,Cycling;Swimming,With a friend,Early morning,30 minutes,Not always,Temptation and cravings,4,Yes,Yes,I want to lose weight;I want to be fit,12119
2019/07/07 6:52:8 PM GMT+5:30,Arjun 187,Male,15 to 18,1,Very good,Everyday,I'll become too tired,Cycling,With a group,Morning,1 hour,No,Ease of access to fast food,3,No,Yes,I'm not really interested in exercising,7191
2019/07/05 3:51:50 PM GMT+5:30,Manish 188,Female,19 to 25,2,Unfit,Everyday,I'm not interested,Swimming,With a friend,Afternoon,More than 1 hour,No,Cost,5,No,Yes,I want to be fit;I'm not really interested in exercising,8393
2019/07/04 4:8:20 PM GMT+5:30,Rahul 189,Female,19 to 25,4,Unfit,1 to 2 times a week,I don't have enough time;I'm not interested,Lifting weights,With a friend,Afternoon,I don't really exercise,No,Ease of access to fast food,3,Yes,No,I'm not really interested in exercising,7959
2019/07/04 11:59:14 AM GMT+5:30,Nikkitha 190,Female,15 to 18,2,Fair,1 to 2 times a week,I can't stay motivated;I'm not interested,I don't really exercise,Alone,Early morning,30 minutes,No,Lack of time,4,Yes,Yes,I want to be fit,8320
2019/07/06 6:22:15 AM GMT+5:30,Anusha 191,Male,15 to 18,2,Excellent,Never,I'll become too tired;I'm not interested,Swimming,I don't really exercise,Morning,1 hour,Not always,Ease of access to fast food,5,No,Yes,I'm not really interested in exercising,8744
2019/07/04 8:3:14 AM GMT+5:30,Priya 192,Male,36 to 45,4,Unfit,1 to 2 times a week,I can't stay motivated;I'll become too tired,Gym;Swimming,Alone,Early morning,30 minutes,Not always,Lack of time,5,No,Yes,I want to be fit,10525
2019/07/05 11:19:45 PM GMT+5:30,Nithilaa 193,Male,19 to 25,3,Excellent,3 to 4 times a week,I don't have enough time;I'll become too tired,Gym;Lifting weights,Alone,Morning,Less than 30 minutes,Yes,Ease of access to fast food,4,No,No,I want to be flexible;I want to lose weight,9534
2019/07/05 9:25:1 AM GMT+5:30,Sneha 194,Female,36 to 45,2,Fair,3 to 4 times a week,I'll become too tired;I don't have enough time,I don't really exercise,I don't really exercise,Evening,More than 1 hour,No,Lack of time,4,Yes,No,I want to be flexible;I want to lose weight,6578
2019/07/03 4:48:56 PM GMT+5:30,Karunya v 195,Female,19 to 25,1,Excellent,1 to 2 times a week,I can't stay motivated;I don't have enough time,Lifting weights,With a group,Evening,30 minutes,Yes,Ease of access to fast food,5,Yes,No,I'm not really interested in exercising;I want to lose weight,7439
2019/07/07 11:12:13 AM GMT+5:30,Deepak 196,Male,26 to 35,3,Excellent,Never,I'll become too tired;I'm not interested,Walking or jogging,Alone,Afternoon,Less than 30 minutes,Yes,Ease of access to fast food,3,No,No,I'm not really interested in exercising,7031
2019/07/04 7:55:22 AM GMT+5:30,Nikkitha 197,Male,26 to 35,1,Excellent,3 to 4 times a week,I'll become too tired;I'm not interested,I don't really exercise;Lifting weights,I don't really exercise,Morning,I don't really exercise,Yes,Cost,1,Yes,No,I want to lose weight;I want to be flexible,2756
2019/07/07 11:14:26 AM GMT+5:30,Vivek 198,Male,36 to 45,3,Very good,1 to 2 times a week,I'll become too tired;I can't stay motivated,I don't really exercise,I don't really exercise,Early morning,More than 1 hour,Not always,Ease of access to fast food,3,No,No,I want to be fit,7474
2019/07/06 7:27:3 AM GMT+5:30,Meena 199,Male,36 to 45,4,Unfit,Never,I'll become too tired;I can't stay motivated,I don't really exercise;Cycling,With a group,Evening,1 hour,No,Ease of access to fast food,2,No,Yes,I want to be flexible;I want to lose weight,7000
